,No.,Popcode,request,response
0,HG00271,FIN,0,44
1,HG00276,FIN,0,44
2,HG00288,FIN,0,44
3,HG00290,FIN,0,44
4,HG00308,FIN,0,44
5,HG00310,FIN,0,44
6,HG00315,FIN,0,44
7,HG00327,FIN,0,44
8,HG00334,FIN,0,44
9,HG00339,FIN,0,44
10,HG00341,FIN,0,44
11,HG00346,FIN,0,44
12,HG00353,FIN,0,44
13,HG00358,FIN,0,44
14,HG00360,FIN,0,44
15,HG00365,FIN,0,44
16,HG00372,FIN,0,44
17,HG00132,GBR,0,44
18,HG00137,GBR,0,44
19,HG00144,GBR,0,44
20,HG00149,GBR,0,44
21,HG00151,GBR,0,44
22,HG00156,GBR,0,44
23,HG00182,FIN,0,44
24,HG00187,FIN,0,44
25,HG00136,GBR,0,44
26,HG00233,GBR,0,44
27,HG00143,GBR,0,44
28,HG00238,GBR,0,44
29,HG00148,GBR,0,44
30,HG00240,GBR,0,44
31,HG00150,GBR,0,44
32,HG00245,GBR,0,44
33,HG00155,GBR,0,44
34,HG00252,GBR,0,44
35,HG00174,FIN,0,44
36,HG00257,GBR,0,44
37,HG00179,FIN,0,44
38,HG00264,GBR,0,44
39,HG00181,FIN,0,44
40,HG00269,FIN,0,44
41,HG00186,FIN,0,44
42,HG00377,FIN,0,44
43,HG00232,GBR,0,44
44,HG00384,FIN,0,44
45,HG00237,GBR,0,44
46,HG00404,CHS,0,44
47,HG00244,GBR,0,44
48,HG00409,CHS,0,44
49,HG00249,GBR,0,44
50,HG00251,GBR,0,44
51,HG00423,CHS,0,44
52,HG00256,GBR,0,44
53,HG00428,CHS,0,44
54,HG00263,GBR,0,44
55,HG00442,CHS,0,44
56,HG00268,FIN,0,44
57,HG00447,CHS,0,44
58,HG00383,FIN,0,44
59,HG00459,CHS,0,44
60,HG00403,CHS,0,44
61,HG00473,CHS,0,44
62,HG00408,CHS,0,44
63,HG00098,GBR,0,44
64,HG00410,CHS,0,44
65,HG00101,GBR,0,44
66,HG00422,CHS,0,44
67,HG00106,GBR,0,44
68,HG00427,CHS,0,44
69,HG00113,GBR,0,44
70,HG00446,CHS,0,44
71,HG00118,GBR,0,44
72,HG00453,CHS,0,44
73,HG00120,GBR,0,44
74,HG00458,CHS,0,44
75,HG00125,GBR,0,44
76,HG00465,CHS,0,44
77,HG00472,CHS,0,44
78,HG00270,FIN,0,44
79,HG00275,FIN,0,44
80,HG00282,FIN,0,44
81,HG00319,FIN,0,44
82,HG00478,CHS,0,44
83,HG00321,FIN,0,44
84,HG00480,CHS,0,44
85,HG00326,FIN,0,44
86,HG00500,CHS,0,44
87,HG00338,FIN,0,44
88,HG00512,CHS,0,44
89,HG00345,FIN,0,44
90,HG00524,CHS,0,44
91,HG00357,FIN,0,44
92,HG00531,CHS,0,44
93,HG00364,FIN,0,44
94,HG00536,CHS,0,44
95,HG00369,FIN,0,44
96,HG00543,CHS,0,44
97,HG00371,FIN,0,44
98,HG00555,PUR,0,44
99,HG00376,FIN,0,44
100,HG00567,CHS,0,44
101,HG00097,GBR,0,44
102,HG00579,CHS,0,44
103,HG00100,GBR,0,44
104,HG00581,CHS,0,44
105,HG00105,GBR,0,44
106,HG00733,PUR,0,44
107,HG00112,GBR,0,44
108,HG00738,PUR,0,44
109,HG00117,GBR,0,44
110,HG00740,PUR,0,44
111,HG00124,GBR,0,44
112,HG00978,CDX,0,44
113,HG00129,GBR,0,44
114,HG01142,CLM,0,44
115,HG00131,GBR,0,44
116,HG01161,PUR,0,44
117,HG01173,PUR,0,44
118,HG01178,PUR,0,44
119,HG01192,PUR,0,44
120,HG01197,PUR,0,44
121,HG01200,PUR,0,44
122,HG00477,CHS,0,44
123,HG01205,PUR,0,44
124,HG00530,CHS,0,44
125,HG01243,PUR,0,44
126,HG00535,CHS,0,44
127,HG01248,PUR,0,44
128,HG00542,CHS,0,44
129,HG01250,CLM,0,44
130,HG00554,PUR,0,44
131,HG00651,CHS,0,44
132,HG00559,CHS,0,44
133,HG00656,CHS,0,44
134,HG00561,CHS,0,44
135,HG00663,CHS,0,44
136,HG00566,CHS,0,44
137,HG00675,CHS,0,44
138,HG00578,CHS,0,44
139,HG00694,CHS,0,44
140,HG00580,CHS,0,44
141,HG00699,CHS,0,44
142,HG00585,CHS,0,44
143,HG00702,CHS,0,44
144,HG00718,CHS,0,44
145,HG00707,CHS,0,44
146,HG00732,PUR,0,44
147,HG00593,CHS,0,44
148,HG00737,PUR,0,44
149,HG00598,CHS,0,44
150,HG00864,CDX,0,44
151,HG00613,CHS,0,44
152,HG00650,CHS,0,44
153,HG00620,CHS,0,44
154,HG00655,CHS,0,44
155,HG00625,CHS,0,44
156,HG00662,CHS,0,44
157,HG00632,CHS,0,44
158,HG00674,CHS,0,44
159,HG00637,PUR,0,44
160,HG00693,CHS,0,44
161,HG01089,PUR,0,44
162,HG00698,CHS,0,44
163,HG01096,PUR,0,44
164,HG00701,CHS,0,44
165,HG01104,PUR,0,44
166,HG00706,CHS,0,44
167,HG01109,PUR,0,44
168,HG01141,CLM,0,44
169,HG01111,PUR,0,44
170,HG01172,PUR,0,44
171,HG01177,PUR,0,44
172,HG01130,CLM,0,44
173,HG01184,PUR,0,44
174,HG01135,CLM,0,44
175,HG01189,PUR,0,44
176,HG01046,CDX,0,44
177,HG01191,PUR,0,44
178,HG01053,PUR,0,44
179,HG01204,PUR,0,44
180,HG01058,PUR,0,44
181,HG01242,PUR,0,44
182,HG01060,PUR,0,44
183,HG01247,PUR,0,44
184,HG01072,PUR,0,44
185,HG01088,PUR,0,44
186,HG01077,PUR,0,44
187,HG01084,PUR,0,44
188,HG01095,PUR,0,44
189,HG01325,PUR,0,44
190,HG01103,PUR,0,44
191,HG01344,CLM,0,44
192,HG01108,PUR,0,44
193,HG01349,CLM,0,44
194,HG01110,PUR,0,44
195,HG01351,CLM,0,44
196,HG01122,CLM,0,44
197,HG01356,CLM,0,44
198,HG01134,CLM,0,44
199,HG01363,CLM,0,44
200,HG01139,CLM,0,44
201,HG01255,CLM,0,44
202,HG00592,CHS,0,44
203,HG01274,CLM,0,44
204,HG00597,CHS,0,44
205,HG01279,CLM,0,44
206,HG01281,CLM,0,44
207,HG00612,CHS,0,44
208,HG01286,PUR,0,44
209,HG00629,CHS,0,44
210,HG01414,PUR,0,44
211,HG00631,CHS,0,44
212,HG00636,CHS,0,44
213,HG01438,CLM,0,44
214,HG01312,PUR,0,44
215,HG01440,CLM,0,44
216,HG01343,CLM,0,44
217,HG01348,CLM,0,44
218,HG01457,CLM,0,44
219,HG01350,CLM,0,44
220,HG01464,CLM,0,44
221,HG01355,CLM,0,44
222,HG01503,IBS,0,44
223,HG01362,CLM,0,44
224,HG01508,IBS,0,44
225,HG01367,CLM,0,44
226,HG01510,IBS,0,44
227,HG01254,CLM,0,44
228,HG01515,IBS,0,44
229,HG01259,CLM,0,44
230,HG01522,IBS,0,44
231,HG01261,CLM,0,44
232,HG01527,IBS,0,44
233,HG01273,CLM,0,44
234,HG01596,KHV,0,44
235,HG01278,CLM,0,44
236,HG01604,IBS,0,44
237,HG01280,CLM,0,44
238,HG01609,IBS,0,44
239,HG01305,PUR,0,44
240,HG01611,IBS,0,44
241,HG01052,PUR,0,44
242,HG01565,PEL,0,44
243,HG01064,PUR,0,44
244,HG01572,PEL,0,44
245,HG01069,PUR,0,44
246,HG01577,PEL,0,44
247,HG01071,PUR,0,44
248,HG01589,PJL,0,44
249,HG01083,PUR,0,44
250,HG01538,IBS,0,44
251,HG01552,CLM,0,44
252,HG01488,CLM,0,44
253,HG01571,PEL,0,44
254,HG01490,CLM,0,44
255,HG01583,PJL,0,44
256,HG01495,CLM,0,44
257,HG01616,IBS,0,44
258,HG01413,PUR,0,44
259,HG01623,IBS,0,44
260,HG01432,CLM,0,44
261,HG01628,IBS,0,44
262,HG01437,CLM,0,44
263,HG01630,IBS,0,44
264,HG01444,CLM,0,44
265,HG01673,IBS,0,44
266,HG01456,CLM,0,44
267,HG01678,IBS,0,44
268,HG01463,CLM,0,44
269,HG01680,IBS,0,44
270,HG01502,IBS,0,44
