,No.,Popcode,request,response
0,HG00271,FIN,0,47
1,HG00276,FIN,0,47
2,HG00288,FIN,0,47
3,HG00290,FIN,0,47
4,HG00308,FIN,0,47
5,HG00310,FIN,0,47
6,HG00315,FIN,0,47
7,HG00327,FIN,0,47
8,HG00334,FIN,0,47
9,HG00339,FIN,0,47
10,HG00341,FIN,0,47
11,HG00346,FIN,0,47
12,HG00353,FIN,0,47
13,HG00358,FIN,0,47
14,HG00360,FIN,0,47
15,HG00365,FIN,0,47
16,HG00372,FIN,0,47
17,HG00132,GBR,0,47
18,HG00137,GBR,0,47
19,HG00144,GBR,0,47
20,HG00149,GBR,0,47
21,HG00151,GBR,0,47
22,HG00156,GBR,0,47
23,HG00182,FIN,0,47
24,HG00187,FIN,0,47
25,HG00136,GBR,0,47
26,HG00233,GBR,0,47
27,HG00143,GBR,0,47
28,HG00238,GBR,0,47
29,HG00148,GBR,0,47
30,HG00240,GBR,0,47
31,HG00150,GBR,0,47
32,HG00245,GBR,0,47
33,HG00155,GBR,0,47
34,HG00252,GBR,0,47
35,HG00174,FIN,0,47
36,HG00257,GBR,0,47
37,HG00179,FIN,0,47
38,HG00264,GBR,0,47
39,HG00181,FIN,0,47
40,HG00269,FIN,0,47
41,HG00186,FIN,0,47
42,HG00377,FIN,0,47
43,HG00232,GBR,0,47
44,HG00384,FIN,0,47
45,HG00237,GBR,0,47
46,HG00404,CHS,0,47
47,HG00244,GBR,0,47
48,HG00409,CHS,0,47
49,HG00249,GBR,0,47
50,HG00251,GBR,0,47
51,HG00423,CHS,0,47
52,HG00256,GBR,0,47
53,HG00428,CHS,0,47
54,HG00263,GBR,0,47
55,HG00442,CHS,0,47
56,HG00268,FIN,0,47
57,HG00447,CHS,0,47
58,HG00383,FIN,0,47
59,HG00459,CHS,0,47
60,HG00403,CHS,0,47
61,HG00473,CHS,0,47
62,HG00408,CHS,0,47
63,HG00098,GBR,0,47
64,HG00410,CHS,0,47
65,HG00101,GBR,0,47
66,HG00422,CHS,0,47
67,HG00106,GBR,0,47
68,HG00427,CHS,0,47
69,HG00113,GBR,0,47
70,HG00446,CHS,0,47
71,HG00118,GBR,0,47
72,HG00453,CHS,0,47
73,HG00120,GBR,0,47
74,HG00458,CHS,0,47
75,HG00125,GBR,0,47
76,HG00465,CHS,0,47
77,HG00472,CHS,0,47
78,HG00270,FIN,0,47
79,HG00275,FIN,0,47
80,HG00282,FIN,0,47
81,HG00319,FIN,0,47
82,HG00478,CHS,0,47
83,HG00321,FIN,0,47
84,HG00480,CHS,0,47
85,HG00326,FIN,0,47
86,HG00500,CHS,0,47
87,HG00338,FIN,0,47
88,HG00512,CHS,0,47
89,HG00345,FIN,0,47
90,HG00524,CHS,0,47
91,HG00357,FIN,0,47
92,HG00531,CHS,0,47
93,HG00364,FIN,0,47
94,HG00536,CHS,0,47
95,HG00369,FIN,0,47
96,HG00543,CHS,0,47
97,HG00371,FIN,0,47
98,HG00555,PUR,0,47
99,HG00376,FIN,0,47
100,HG00567,CHS,0,47
101,HG00097,GBR,0,47
102,HG00579,CHS,0,47
103,HG00100,GBR,0,47
104,HG00581,CHS,0,47
105,HG00105,GBR,0,47
106,HG00733,PUR,0,47
107,HG00112,GBR,0,47
108,HG00738,PUR,0,47
109,HG00117,GBR,0,47
110,HG00740,PUR,0,47
111,HG00124,GBR,0,47
112,HG00978,CDX,0,47
113,HG00129,GBR,0,47
114,HG01142,CLM,0,47
115,HG00131,GBR,0,47
116,HG01161,PUR,0,47
117,HG01173,PUR,0,47
118,HG01178,PUR,0,47
119,HG01192,PUR,0,47
120,HG01197,PUR,0,47
121,HG01200,PUR,0,47
122,HG00477,CHS,0,47
123,HG01205,PUR,0,47
124,HG00530,CHS,0,47
125,HG01243,PUR,0,47
126,HG00535,CHS,0,47
127,HG01248,PUR,0,47
128,HG00542,CHS,0,47
129,HG01250,CLM,0,47
130,HG00554,PUR,0,47
131,HG00651,CHS,0,47
132,HG00559,CHS,0,47
133,HG00656,CHS,0,47
134,HG00561,CHS,0,47
135,HG00663,CHS,0,47
136,HG00566,CHS,0,47
137,HG00675,CHS,0,47
138,HG00578,CHS,0,47
139,HG00694,CHS,0,47
140,HG00580,CHS,0,47
141,HG00699,CHS,0,47
142,HG00585,CHS,0,47
143,HG00702,CHS,0,47
144,HG00718,CHS,0,47
145,HG00707,CHS,0,47
146,HG00732,PUR,0,47
147,HG00593,CHS,0,47
148,HG00737,PUR,0,47
149,HG00598,CHS,0,47
150,HG00864,CDX,0,47
151,HG00613,CHS,0,47
152,HG00650,CHS,0,47
153,HG00620,CHS,0,47
154,HG00655,CHS,0,47
155,HG00625,CHS,0,47
156,HG00662,CHS,0,47
157,HG00632,CHS,0,47
158,HG00674,CHS,0,47
159,HG00637,PUR,0,47
160,HG00693,CHS,0,47
161,HG01089,PUR,0,47
162,HG00698,CHS,0,47
163,HG01096,PUR,0,47
164,HG00701,CHS,0,47
165,HG01104,PUR,0,47
166,HG00706,CHS,0,47
167,HG01109,PUR,0,47
168,HG01141,CLM,0,47
169,HG01111,PUR,0,47
170,HG01172,PUR,0,47
171,HG01177,PUR,0,47
172,HG01130,CLM,0,47
173,HG01184,PUR,0,47
174,HG01135,CLM,0,47
175,HG01189,PUR,0,47
176,HG01046,CDX,0,47
177,HG01191,PUR,0,47
178,HG01053,PUR,0,47
179,HG01204,PUR,0,47
180,HG01058,PUR,0,47
181,HG01242,PUR,0,47
182,HG01060,PUR,0,47
183,HG01247,PUR,0,47
184,HG01072,PUR,0,47
185,HG01088,PUR,0,47
186,HG01077,PUR,0,47
187,HG01084,PUR,0,47
188,HG01095,PUR,0,47
189,HG01325,PUR,0,47
190,HG01103,PUR,0,47
191,HG01344,CLM,0,47
192,HG01108,PUR,0,47
193,HG01349,CLM,0,47
194,HG01110,PUR,0,47
195,HG01351,CLM,0,47
196,HG01122,CLM,0,47
197,HG01356,CLM,0,47
198,HG01134,CLM,0,47
199,HG01363,CLM,0,47
