,No.,Popcode,request,response
0,HG00271,FIN,0,42
1,HG00276,FIN,0,42
2,HG00288,FIN,0,42
3,HG00290,FIN,0,42
4,HG00308,FIN,0,42
5,HG00310,FIN,0,42
6,HG00315,FIN,0,42
7,HG00327,FIN,0,42
8,HG00334,FIN,0,42
9,HG00339,FIN,0,42
10,HG00341,FIN,0,42
11,HG00346,FIN,0,42
12,HG00353,FIN,0,42
13,HG00358,FIN,0,42
14,HG00360,FIN,0,42
15,HG00365,FIN,0,42
16,HG00372,FIN,0,42
17,HG00132,GBR,0,42
18,HG00137,GBR,0,42
19,HG00144,GBR,0,42
20,HG00149,GBR,0,42
21,HG00151,GBR,0,42
22,HG00156,GBR,0,42
23,HG00182,FIN,0,42
24,HG00187,FIN,0,42
25,HG00136,GBR,0,42
26,HG00233,GBR,0,42
27,HG00143,GBR,0,42
28,HG00238,GBR,0,42
29,HG00148,GBR,0,42
30,HG00240,GBR,0,42
31,HG00150,GBR,0,42
32,HG00245,GBR,0,42
33,HG00155,GBR,0,42
34,HG00252,GBR,0,42
35,HG00174,FIN,0,42
36,HG00257,GBR,0,42
37,HG00179,FIN,0,42
38,HG00264,GBR,0,42
39,HG00181,FIN,0,42
40,HG00269,FIN,0,42
41,HG00186,FIN,0,42
42,HG00377,FIN,0,42
43,HG00232,GBR,0,42
44,HG00384,FIN,0,42
45,HG00237,GBR,0,42
46,HG00404,CHS,0,42
47,HG00244,GBR,0,42
48,HG00409,CHS,0,42
49,HG00249,GBR,0,42
50,HG00251,GBR,0,42
51,HG00423,CHS,0,42
52,HG00256,GBR,0,42
53,HG00428,CHS,0,42
54,HG00263,GBR,0,42
55,HG00442,CHS,0,42
56,HG00268,FIN,0,42
57,HG00447,CHS,0,42
58,HG00383,FIN,0,42
59,HG00459,CHS,0,42
60,HG00403,CHS,0,42
61,HG00473,CHS,0,42
62,HG00408,CHS,0,42
63,HG00098,GBR,0,42
64,HG00410,CHS,0,42
65,HG00101,GBR,0,42
66,HG00422,CHS,0,42
67,HG00106,GBR,0,42
68,HG00427,CHS,0,42
69,HG00113,GBR,0,42
70,HG00446,CHS,0,42
71,HG00118,GBR,0,42
72,HG00453,CHS,0,42
73,HG00120,GBR,0,42
74,HG00458,CHS,0,42
75,HG00125,GBR,0,42
76,HG00465,CHS,0,42
77,HG00472,CHS,0,42
78,HG00270,FIN,0,42
79,HG00275,FIN,0,42
