,No.,Popcode,request,response
0,HG00271,FIN,0,49
1,HG00276,FIN,0,49
2,HG00288,FIN,0,49
3,HG00290,FIN,0,49
4,HG00308,FIN,0,49
5,HG00310,FIN,0,49
6,HG00315,FIN,0,49
7,HG00327,FIN,0,49
8,HG00334,FIN,0,49
9,HG00339,FIN,0,49
10,HG00341,FIN,0,49
11,HG00346,FIN,0,49
12,HG00353,FIN,0,49
13,HG00358,FIN,0,49
14,HG00360,FIN,0,49
15,HG00365,FIN,0,49
16,HG00372,FIN,0,49
17,HG00132,GBR,0,49
18,HG00137,GBR,0,49
19,HG00144,GBR,0,49
20,HG00149,GBR,0,49
21,HG00151,GBR,0,49
22,HG00156,GBR,0,49
23,HG00182,FIN,0,49
24,HG00187,FIN,0,49
25,HG00136,GBR,0,49
26,HG00233,GBR,0,49
27,HG00143,GBR,0,49
28,HG00238,GBR,0,49
29,HG00148,GBR,0,49
30,HG00240,GBR,0,49
31,HG00150,GBR,0,49
32,HG00245,GBR,0,49
33,HG00155,GBR,0,49
34,HG00252,GBR,0,49
35,HG00174,FIN,0,49
36,HG00257,GBR,0,49
37,HG00179,FIN,0,49
38,HG00264,GBR,0,49
39,HG00181,FIN,0,49
40,HG00269,FIN,0,49
41,HG00186,FIN,0,49
42,HG00377,FIN,0,49
43,HG00232,GBR,0,49
44,HG00384,FIN,0,49
45,HG00237,GBR,0,49
46,HG00404,CHS,0,49
47,HG00244,GBR,0,49
48,HG00409,CHS,0,49
49,HG00249,GBR,0,49
50,HG00251,GBR,0,49
51,HG00423,CHS,0,49
52,HG00256,GBR,0,49
53,HG00428,CHS,0,49
54,HG00263,GBR,0,49
55,HG00442,CHS,0,49
56,HG00268,FIN,0,49
57,HG00447,CHS,0,49
58,HG00383,FIN,0,49
59,HG00459,CHS,0,49
60,HG00403,CHS,0,49
61,HG00473,CHS,0,49
62,HG00408,CHS,0,49
63,HG00098,GBR,0,49
64,HG00410,CHS,0,49
65,HG00101,GBR,0,49
66,HG00422,CHS,0,49
67,HG00106,GBR,0,49
68,HG00427,CHS,0,49
69,HG00113,GBR,0,49
70,HG00446,CHS,0,49
71,HG00118,GBR,0,49
72,HG00453,CHS,0,49
73,HG00120,GBR,0,49
74,HG00458,CHS,0,49
75,HG00125,GBR,0,49
76,HG00465,CHS,0,49
77,HG00472,CHS,0,49
78,HG00270,FIN,0,49
79,HG00275,FIN,0,49
80,HG00282,FIN,0,49
81,HG00319,FIN,0,49
82,HG00478,CHS,0,49
83,HG00321,FIN,0,49
84,HG00480,CHS,0,49
85,HG00326,FIN,0,49
86,HG00500,CHS,0,49
87,HG00338,FIN,0,49
88,HG00512,CHS,0,49
89,HG00345,FIN,0,49
90,HG00524,CHS,0,49
91,HG00357,FIN,0,49
92,HG00531,CHS,0,49
93,HG00364,FIN,0,49
94,HG00536,CHS,0,49
95,HG00369,FIN,0,49
96,HG00543,CHS,0,49
97,HG00371,FIN,0,49
98,HG00555,PUR,0,49
99,HG00376,FIN,0,49
100,HG00567,CHS,0,49
101,HG00097,GBR,0,49
102,HG00579,CHS,0,49
103,HG00100,GBR,0,49
104,HG00581,CHS,0,49
105,HG00105,GBR,0,49
106,HG00733,PUR,0,49
107,HG00112,GBR,0,49
108,HG00738,PUR,0,49
109,HG00117,GBR,0,49
110,HG00740,PUR,0,49
111,HG00124,GBR,0,49
112,HG00978,CDX,0,49
113,HG00129,GBR,0,49
114,HG01142,CLM,0,49
115,HG00131,GBR,0,49
116,HG01161,PUR,0,49
117,HG01173,PUR,0,49
118,HG01178,PUR,0,49
119,HG01192,PUR,0,49
120,HG01197,PUR,0,49
121,HG01200,PUR,0,49
122,HG00477,CHS,0,49
123,HG01205,PUR,0,49
124,HG00530,CHS,0,49
125,HG01243,PUR,0,49
126,HG00535,CHS,0,49
127,HG01248,PUR,0,49
128,HG00542,CHS,0,49
129,HG01250,CLM,0,49
130,HG00554,PUR,0,49
131,HG00651,CHS,0,49
132,HG00559,CHS,0,49
133,HG00656,CHS,0,49
134,HG00561,CHS,0,49
135,HG00663,CHS,0,49
136,HG00566,CHS,0,49
137,HG00675,CHS,0,49
138,HG00578,CHS,0,49
139,HG00694,CHS,0,49
140,HG00580,CHS,0,49
141,HG00699,CHS,0,49
142,HG00585,CHS,0,49
143,HG00702,CHS,0,49
144,HG00718,CHS,0,49
145,HG00707,CHS,0,49
146,HG00732,PUR,0,49
147,HG00593,CHS,0,49
148,HG00737,PUR,0,49
149,HG00598,CHS,0,49
150,HG00864,CDX,0,49
151,HG00613,CHS,0,49
152,HG00650,CHS,0,49
153,HG00620,CHS,0,49
154,HG00655,CHS,0,49
155,HG00625,CHS,0,49
156,HG00662,CHS,0,49
157,HG00632,CHS,0,49
158,HG00674,CHS,0,49
159,HG00637,PUR,0,49
160,HG00693,CHS,0,49
161,HG01089,PUR,0,49
162,HG00698,CHS,0,49
163,HG01096,PUR,0,49
164,HG00701,CHS,0,49
165,HG01104,PUR,0,49
166,HG00706,CHS,0,49
167,HG01109,PUR,0,49
168,HG01141,CLM,0,49
169,HG01111,PUR,0,49
170,HG01172,PUR,0,49
171,HG01177,PUR,0,49
172,HG01130,CLM,0,49
173,HG01184,PUR,0,49
