,No.,Popcode,request,response
0,HG00271,FIN,0,43
1,HG00276,FIN,0,43
2,HG00288,FIN,0,43
3,HG00290,FIN,0,43
4,HG00308,FIN,0,43
5,HG00310,FIN,0,43
6,HG00315,FIN,0,43
7,HG00327,FIN,0,43
8,HG00334,FIN,0,43
9,HG00339,FIN,0,43
10,HG00341,FIN,0,43
11,HG00346,FIN,0,43
12,HG00353,FIN,0,43
13,HG00358,FIN,0,43
14,HG00360,FIN,0,43
15,HG00365,FIN,0,43
16,HG00372,FIN,0,43
17,HG00132,GBR,0,43
18,HG00137,GBR,0,43
19,HG00144,GBR,0,43
20,HG00149,GBR,0,43
21,HG00151,GBR,0,43
22,HG00156,GBR,0,43
23,HG00182,FIN,0,43
24,HG00187,FIN,0,43
25,HG00136,GBR,0,43
26,HG00233,GBR,0,43
27,HG00143,GBR,0,43
28,HG00238,GBR,0,43
29,HG00148,GBR,0,43
30,HG00240,GBR,0,43
31,HG00150,GBR,0,43
32,HG00245,GBR,0,43
33,HG00155,GBR,0,43
34,HG00252,GBR,0,43
35,HG00174,FIN,0,43
36,HG00257,GBR,0,43
37,HG00179,FIN,0,43
38,HG00264,GBR,0,43
39,HG00181,FIN,0,43
40,HG00269,FIN,0,43
41,HG00186,FIN,0,43
42,HG00377,FIN,0,43
43,HG00232,GBR,0,43
44,HG00384,FIN,0,43
45,HG00237,GBR,0,43
46,HG00404,CHS,0,43
47,HG00244,GBR,0,43
48,HG00409,CHS,0,43
49,HG00249,GBR,0,43
50,HG00251,GBR,0,43
51,HG00423,CHS,0,43
52,HG00256,GBR,0,43
53,HG00428,CHS,0,43
54,HG00263,GBR,0,43
55,HG00442,CHS,0,43
56,HG00268,FIN,0,43
57,HG00447,CHS,0,43
58,HG00383,FIN,0,43
59,HG00459,CHS,0,43
60,HG00403,CHS,0,43
61,HG00473,CHS,0,43
62,HG00408,CHS,0,43
63,HG00098,GBR,0,43
64,HG00410,CHS,0,43
65,HG00101,GBR,0,43
66,HG00422,CHS,0,43
67,HG00106,GBR,0,43
68,HG00427,CHS,0,43
69,HG00113,GBR,0,43
70,HG00446,CHS,0,43
71,HG00118,GBR,0,43
72,HG00453,CHS,0,43
73,HG00120,GBR,0,43
74,HG00458,CHS,0,43
75,HG00125,GBR,0,43
76,HG00465,CHS,0,43
77,HG00472,CHS,0,43
78,HG00270,FIN,0,43
79,HG00275,FIN,0,43
80,HG00282,FIN,0,43
81,HG00319,FIN,0,43
82,HG00478,CHS,0,43
83,HG00321,FIN,0,43
84,HG00480,CHS,0,43
85,HG00326,FIN,0,43
86,HG00500,CHS,0,43
87,HG00338,FIN,0,43
88,HG00512,CHS,0,43
89,HG00345,FIN,0,43
90,HG00524,CHS,0,43
91,HG00357,FIN,0,43
92,HG00531,CHS,0,43
93,HG00364,FIN,0,43
94,HG00536,CHS,0,43
95,HG00369,FIN,0,43
96,HG00543,CHS,0,43
97,HG00371,FIN,0,43
98,HG00555,PUR,0,43
99,HG00376,FIN,0,43
100,HG00567,CHS,0,43
101,HG00097,GBR,0,43
102,HG00579,CHS,0,43
103,HG00100,GBR,0,43
104,HG00581,CHS,0,43
105,HG00105,GBR,0,43
106,HG00733,PUR,0,43
107,HG00112,GBR,0,43
108,HG00738,PUR,0,43
109,HG00117,GBR,0,43
110,HG00740,PUR,0,43
111,HG00124,GBR,0,43
112,HG00978,CDX,0,43
113,HG00129,GBR,0,43
114,HG01142,CLM,0,43
115,HG00131,GBR,0,43
116,HG01161,PUR,0,43
117,HG01173,PUR,0,43
118,HG01178,PUR,0,43
119,HG01192,PUR,0,43
120,HG01197,PUR,0,43
121,HG01200,PUR,0,43
122,HG00477,CHS,0,43
123,HG01205,PUR,0,43
124,HG00530,CHS,0,43
125,HG01243,PUR,0,43
126,HG00535,CHS,0,43
127,HG01248,PUR,0,43
128,HG00542,CHS,0,43
129,HG01250,CLM,0,43
130,HG00554,PUR,0,43
131,HG00651,CHS,0,43
132,HG00559,CHS,0,43
133,HG00656,CHS,0,43
134,HG00561,CHS,0,43
135,HG00663,CHS,0,43
136,HG00566,CHS,0,43
137,HG00675,CHS,0,43
138,HG00578,CHS,0,43
139,HG00694,CHS,0,43
140,HG00580,CHS,0,43
141,HG00699,CHS,0,43
142,HG00585,CHS,0,43
143,HG00702,CHS,0,43
144,HG00718,CHS,0,43
145,HG00707,CHS,0,43
146,HG00732,PUR,0,43
147,HG00593,CHS,0,43
148,HG00737,PUR,0,43
149,HG00598,CHS,0,43
150,HG00864,CDX,0,43
151,HG00613,CHS,0,43
152,HG00650,CHS,0,43
153,HG00620,CHS,0,43
154,HG00655,CHS,0,43
155,HG00625,CHS,0,43
156,HG00662,CHS,0,43
157,HG00632,CHS,0,43
158,HG00674,CHS,0,43
159,HG00637,PUR,0,43
160,HG00693,CHS,0,43
161,HG01089,PUR,0,43
162,HG00698,CHS,0,43
163,HG01096,PUR,0,43
164,HG00701,CHS,0,43
165,HG01104,PUR,0,43
166,HG00706,CHS,0,43
167,HG01109,PUR,0,43
168,HG01141,CLM,0,43
169,HG01111,PUR,0,43
170,HG01172,PUR,0,43
171,HG01177,PUR,0,43
172,HG01130,CLM,0,43
173,HG01184,PUR,0,43
174,HG01135,CLM,0,43
175,HG01189,PUR,0,43
176,HG01046,CDX,0,43
177,HG01191,PUR,0,43
178,HG01053,PUR,0,43
179,HG01204,PUR,0,43
180,HG01058,PUR,0,43
181,HG01242,PUR,0,43
182,HG01060,PUR,0,43
183,HG01247,PUR,0,43
184,HG01072,PUR,0,43
185,HG01088,PUR,0,43
186,HG01077,PUR,0,43
187,HG01084,PUR,0,43
188,HG01095,PUR,0,43
189,HG01325,PUR,0,43
190,HG01103,PUR,0,43
191,HG01344,CLM,0,43
192,HG01108,PUR,0,43
193,HG01349,CLM,0,43
194,HG01110,PUR,0,43
195,HG01351,CLM,0,43
196,HG01122,CLM,0,43
197,HG01356,CLM,0,43
198,HG01134,CLM,0,43
199,HG01363,CLM,0,43
200,HG01139,CLM,0,43
201,HG01255,CLM,0,43
202,HG00592,CHS,0,43
