,No.,Popcode,request,response
0,HG00271,FIN,0,38
1,HG00276,FIN,0,38
2,HG00288,FIN,0,38
3,HG00290,FIN,0,38
4,HG00308,FIN,0,38
5,HG00310,FIN,0,38
6,HG00315,FIN,0,38
7,HG00327,FIN,0,38
8,HG00334,FIN,0,38
9,HG00339,FIN,0,38
10,HG00341,FIN,0,38
11,HG00346,FIN,0,38
12,HG00353,FIN,0,38
13,HG00358,FIN,0,38
14,HG00360,FIN,0,38
15,HG00365,FIN,0,38
16,HG00372,FIN,0,38
17,HG00132,GBR,0,38
18,HG00137,GBR,0,38
19,HG00144,GBR,0,38
20,HG00149,GBR,0,38
21,HG00151,GBR,0,38
22,HG00156,GBR,0,38
23,HG00182,FIN,0,38
24,HG00187,FIN,0,38
25,HG00136,GBR,0,38
26,HG00233,GBR,0,38
27,HG00143,GBR,0,38
28,HG00238,GBR,0,38
29,HG00148,GBR,0,38
30,HG00240,GBR,0,38
31,HG00150,GBR,0,38
32,HG00245,GBR,0,38
33,HG00155,GBR,0,38
34,HG00252,GBR,0,38
35,HG00174,FIN,0,38
36,HG00257,GBR,0,38
37,HG00179,FIN,0,38
38,HG00264,GBR,0,38
39,HG00181,FIN,0,38
40,HG00269,FIN,0,38
41,HG00186,FIN,0,38
42,HG00377,FIN,0,38
43,HG00232,GBR,0,38
44,HG00384,FIN,0,38
45,HG00237,GBR,0,38
46,HG00404,CHS,0,38
47,HG00244,GBR,0,38
48,HG00409,CHS,0,38
49,HG00249,GBR,0,38
50,HG00251,GBR,0,38
51,HG00423,CHS,0,38
52,HG00256,GBR,0,38
53,HG00428,CHS,0,38
54,HG00263,GBR,0,38
55,HG00442,CHS,0,38
56,HG00268,FIN,0,38
57,HG00447,CHS,0,38
58,HG00383,FIN,0,38
59,HG00459,CHS,0,38
60,HG00403,CHS,0,38
61,HG00473,CHS,0,38
62,HG00408,CHS,0,38
63,HG00098,GBR,0,38
64,HG00410,CHS,0,38
65,HG00101,GBR,0,38
66,HG00422,CHS,0,38
67,HG00106,GBR,0,38
68,HG00427,CHS,0,38
69,HG00113,GBR,0,38
70,HG00446,CHS,0,38
71,HG00118,GBR,0,38
72,HG00453,CHS,0,38
73,HG00120,GBR,0,38
74,HG00458,CHS,0,38
75,HG00125,GBR,0,38
76,HG00465,CHS,0,38
77,HG00472,CHS,0,38
78,HG00270,FIN,0,38
79,HG00275,FIN,0,38
80,HG00282,FIN,0,38
81,HG00319,FIN,0,38
82,HG00478,CHS,0,38
83,HG00321,FIN,0,38
84,HG00480,CHS,0,38
85,HG00326,FIN,0,38
86,HG00500,CHS,0,38
87,HG00338,FIN,0,38
88,HG00512,CHS,0,38
89,HG00345,FIN,0,38
90,HG00524,CHS,0,38
91,HG00357,FIN,0,38
92,HG00531,CHS,0,38
93,HG00364,FIN,0,38
94,HG00536,CHS,0,38
95,HG00369,FIN,0,38
96,HG00543,CHS,0,38
97,HG00371,FIN,0,38
98,HG00555,PUR,0,38
99,HG00376,FIN,0,38
100,HG00567,CHS,0,38
101,HG00097,GBR,0,38
102,HG00579,CHS,0,38
103,HG00100,GBR,0,38
104,HG00581,CHS,0,38
105,HG00105,GBR,0,38
106,HG00733,PUR,0,38
107,HG00112,GBR,0,38
108,HG00738,PUR,0,38
109,HG00117,GBR,0,38
110,HG00740,PUR,0,38
111,HG00124,GBR,0,38
112,HG00978,CDX,0,38
113,HG00129,GBR,0,38
114,HG01142,CLM,0,38
115,HG00131,GBR,0,38
116,HG01161,PUR,0,38
117,HG01173,PUR,0,38
118,HG01178,PUR,0,38
119,HG01192,PUR,0,38
120,HG01197,PUR,0,38
121,HG01200,PUR,0,38
122,HG00477,CHS,0,38
123,HG01205,PUR,0,38
124,HG00530,CHS,0,38
125,HG01243,PUR,0,38
126,HG00535,CHS,0,38
127,HG01248,PUR,0,38
128,HG00542,CHS,0,38
129,HG01250,CLM,0,38
130,HG00554,PUR,0,38
131,HG00651,CHS,0,38
132,HG00559,CHS,0,38
133,HG00656,CHS,0,38
134,HG00561,CHS,0,38
135,HG00663,CHS,0,38
136,HG00566,CHS,0,38
137,HG00675,CHS,0,38
138,HG00578,CHS,0,38
139,HG00694,CHS,0,38
140,HG00580,CHS,0,38
141,HG00699,CHS,0,38
142,HG00585,CHS,0,38
143,HG00702,CHS,0,38
144,HG00718,CHS,0,38
145,HG00707,CHS,0,38
146,HG00732,PUR,0,38
147,HG00593,CHS,0,38
148,HG00737,PUR,0,38
149,HG00598,CHS,0,38
150,HG00864,CDX,0,38
151,HG00613,CHS,0,38
152,HG00650,CHS,0,38
153,HG00620,CHS,0,38
154,HG00655,CHS,0,38
155,HG00625,CHS,0,38
156,HG00662,CHS,0,38
157,HG00632,CHS,0,38
158,HG00674,CHS,0,38
159,HG00637,PUR,0,38
160,HG00693,CHS,0,38
161,HG01089,PUR,0,38
162,HG00698,CHS,0,38
163,HG01096,PUR,0,38
164,HG00701,CHS,0,38
165,HG01104,PUR,0,38
166,HG00706,CHS,0,38
167,HG01109,PUR,0,38
168,HG01141,CLM,0,38
169,HG01111,PUR,0,38
170,HG01172,PUR,0,38
