,No.,Popcode,request,response
0,HG00271,FIN,1,30
1,HG00276,FIN,1,30
2,HG00288,FIN,1,30
3,HG00290,FIN,1,30
4,HG00308,FIN,1,30
5,HG00310,FIN,1,30
6,HG00315,FIN,1,30
7,HG00327,FIN,1,30
8,HG00334,FIN,1,30
9,HG00339,FIN,1,30
10,HG00341,FIN,1,30
11,HG00346,FIN,1,30
12,HG00353,FIN,1,30
13,HG00358,FIN,1,30
14,HG00360,FIN,1,30
15,HG00365,FIN,1,30
16,HG00372,FIN,1,30
17,HG00132,GBR,0,29
18,HG00137,GBR,0,29
19,HG00144,GBR,0,29
20,HG00149,GBR,0,29
21,HG00151,GBR,0,29
22,HG00156,GBR,0,29
23,HG00182,FIN,1,30
24,HG00187,FIN,1,30
25,HG00136,GBR,0,29
26,HG00233,GBR,0,29
27,HG00143,GBR,0,29
28,HG00238,GBR,0,29
29,HG00148,GBR,0,29
30,HG00240,GBR,0,29
31,HG00150,GBR,0,29
32,HG00245,GBR,0,29
33,HG00155,GBR,0,29
34,HG00252,GBR,0,29
35,HG00174,FIN,1,30
36,HG00257,GBR,0,29
37,HG00179,FIN,1,30
38,HG00264,GBR,0,29
39,HG00181,FIN,1,30
40,HG00269,FIN,1,30
41,HG00186,FIN,1,30
42,HG00377,FIN,1,30
43,HG00232,GBR,0,29
44,HG00384,FIN,1,30
45,HG00237,GBR,0,29
46,HG00404,CHS,0,29
47,HG00244,GBR,0,29
48,HG00409,CHS,0,29
49,HG00249,GBR,0,29
50,HG00251,GBR,0,29
51,HG00423,CHS,0,29
52,HG00256,GBR,0,29
53,HG00428,CHS,0,29
54,HG00263,GBR,0,29
55,HG00442,CHS,0,29
56,HG00268,FIN,1,30
57,HG00447,CHS,0,29
58,HG00383,FIN,1,30
59,HG00459,CHS,0,29
60,HG00403,CHS,0,29
61,HG00473,CHS,0,29
62,HG00408,CHS,0,29
63,HG00098,GBR,0,29
64,HG00410,CHS,0,29
65,HG00101,GBR,0,29
66,HG00422,CHS,0,29
67,HG00106,GBR,0,29
68,HG00427,CHS,0,29
69,HG00113,GBR,0,29
70,HG00446,CHS,0,29
71,HG00118,GBR,0,29
72,HG00453,CHS,0,29
73,HG00120,GBR,0,29
74,HG00458,CHS,0,29
75,HG00125,GBR,0,29
76,HG00465,CHS,0,29
77,HG00472,CHS,0,29
78,HG00270,FIN,1,30
79,HG00275,FIN,1,30
80,HG00282,FIN,1,30
81,HG00319,FIN,1,30
82,HG00478,CHS,0,29
83,HG00321,FIN,1,30
84,HG00480,CHS,0,29
85,HG00326,FIN,1,30
86,HG00500,CHS,0,29
87,HG00338,FIN,1,30
88,HG00512,CHS,0,29
89,HG00345,FIN,1,30
90,HG00524,CHS,0,29
91,HG00357,FIN,1,30
92,HG00531,CHS,0,29
93,HG00364,FIN,1,30
94,HG00536,CHS,0,29
95,HG00369,FIN,1,30
96,HG00543,CHS,0,29
97,HG00371,FIN,1,30
98,HG00555,PUR,0,29
99,HG00376,FIN,1,30
100,HG00567,CHS,0,29
101,HG00097,GBR,0,29
102,HG00579,CHS,0,29
103,HG00100,GBR,0,29
104,HG00581,CHS,0,29
105,HG00105,GBR,0,29
106,HG00733,PUR,0,29
107,HG00112,GBR,0,29
108,HG00738,PUR,0,29
109,HG00117,GBR,0,29
110,HG00740,PUR,0,29
111,HG00124,GBR,0,29
112,HG00978,CDX,0,29
113,HG00129,GBR,0,29
114,HG01142,CLM,1,6
115,HG00131,GBR,0,29
116,HG01161,PUR,0,29
117,HG01173,PUR,0,29
118,HG01178,PUR,0,29
119,HG01192,PUR,0,29
120,HG01197,PUR,0,29
121,HG01200,PUR,0,29
122,HG00477,CHS,0,29
123,HG01205,PUR,0,29
124,HG00530,CHS,0,29
125,HG01243,PUR,0,29
126,HG00535,CHS,0,29
127,HG01248,PUR,0,29
128,HG00542,CHS,0,29
129,HG01250,CLM,1,6
130,HG00554,PUR,0,29
131,HG00651,CHS,0,29
132,HG00559,CHS,0,29
133,HG00656,CHS,0,29
134,HG00561,CHS,0,29
135,HG00663,CHS,0,29
136,HG00566,CHS,0,29
137,HG00675,CHS,0,29
138,HG00578,CHS,0,29
139,HG00694,CHS,0,29
140,HG00580,CHS,0,29
141,HG00699,CHS,0,29
142,HG00585,CHS,0,29
143,HG00702,CHS,0,29
144,HG00718,CHS,0,29
145,HG00707,CHS,0,29
146,HG00732,PUR,0,29
147,HG00593,CHS,0,29
148,HG00737,PUR,0,29
149,HG00598,CHS,0,29
150,HG00864,CDX,0,29
151,HG00613,CHS,0,29
152,HG00650,CHS,0,29
153,HG00620,CHS,0,29
154,HG00655,CHS,0,29
155,HG00625,CHS,0,29
156,HG00662,CHS,0,29
157,HG00632,CHS,0,29
158,HG00674,CHS,0,29
159,HG00637,PUR,0,29
160,HG00693,CHS,0,29
161,HG01089,PUR,0,29
162,HG00698,CHS,0,29
163,HG01096,PUR,0,29
164,HG00701,CHS,0,29
165,HG01104,PUR,0,29
166,HG00706,CHS,0,29
167,HG01109,PUR,0,29
168,HG01141,CLM,1,6
169,HG01111,PUR,0,29
170,HG01172,PUR,0,29
171,HG01177,PUR,0,29
172,HG01130,CLM,1,6
173,HG01184,PUR,0,29
174,HG01135,CLM,1,6
175,HG01189,PUR,0,29
176,HG01046,CDX,0,29
177,HG01191,PUR,0,29
178,HG01053,PUR,0,29
179,HG01204,PUR,0,29
180,HG01058,PUR,0,29
181,HG01242,PUR,0,29
182,HG01060,PUR,0,29
183,HG01247,PUR,0,29
184,HG01072,PUR,0,29
185,HG01088,PUR,0,29
186,HG01077,PUR,0,29
187,HG01084,PUR,0,29
188,HG01095,PUR,0,29
189,HG01325,PUR,0,29
190,HG01103,PUR,0,29
191,HG01344,CLM,1,6
192,HG01108,PUR,0,29
193,HG01349,CLM,1,6
194,HG01110,PUR,0,29
195,HG01351,CLM,1,6
196,HG01122,CLM,1,6
197,HG01356,CLM,1,6
198,HG01134,CLM,1,6
199,HG01363,CLM,1,6
200,HG01139,CLM,1,6
201,HG01255,CLM,1,6
202,HG00592,CHS,0,29
203,HG01274,CLM,1,6
204,HG00597,CHS,0,29
205,HG01279,CLM,1,6
206,HG01281,CLM,1,6
207,HG00612,CHS,0,29
208,HG01286,PUR,0,29
209,HG00629,CHS,0,29
210,HG01414,PUR,0,29
211,HG00631,CHS,0,29
212,HG00636,CHS,0,29
213,HG01438,CLM,1,6
214,HG01312,PUR,0,29
215,HG01440,CLM,1,6
216,HG01343,CLM,1,6
217,HG01348,CLM,1,6
218,HG01457,CLM,1,6
219,HG01350,CLM,1,6
220,HG01464,CLM,1,6
221,HG01355,CLM,1,6
222,HG01503,IBS,0,5
223,HG01362,CLM,1,6
224,HG01508,IBS,0,5
225,HG01367,CLM,1,6
226,HG01510,IBS,0,5
227,HG01254,CLM,1,6
228,HG01515,IBS,0,5
229,HG01259,CLM,1,6
230,HG01522,IBS,0,5
231,HG01261,CLM,1,6
232,HG01527,IBS,0,5
233,HG01273,CLM,1,6
234,HG01596,KHV,0,5
235,HG01278,CLM,1,6
236,HG01604,IBS,0,5
237,HG01280,CLM,1,6
238,HG01609,IBS,0,5
239,HG01305,PUR,0,29
240,HG01611,IBS,0,5
241,HG01052,PUR,0,29
242,HG01565,PEL,0,5
243,HG01064,PUR,0,29
244,HG01572,PEL,0,5
245,HG01069,PUR,0,29
246,HG01577,PEL,0,5
247,HG01071,PUR,0,29
248,HG01589,PJL,0,5
249,HG01083,PUR,0,29
250,HG01538,IBS,0,5
251,HG01552,CLM,1,6
252,HG01488,CLM,1,6
253,HG01571,PEL,0,5
254,HG01490,CLM,1,6
255,HG01583,PJL,0,5
256,HG01495,CLM,1,6
257,HG01616,IBS,0,5
258,HG01413,PUR,0,29
259,HG01623,IBS,0,5
260,HG01432,CLM,1,6
261,HG01628,IBS,0,5
262,HG01437,CLM,1,6
263,HG01630,IBS,0,5
264,HG01444,CLM,1,6
265,HG01673,IBS,0,5
266,HG01456,CLM,1,6
267,HG01678,IBS,0,5
268,HG01463,CLM,1,6
269,HG01680,IBS,0,5
270,HG01502,IBS,0,5
271,HG01685,IBS,0,5
272,HG01507,IBS,0,5
273,HG01697,IBS,0,5
274,HG01514,IBS,0,5
275,HG01700,IBS,0,5
276,HG01519,IBS,0,5
277,HG01375,CLM,1,6
278,HG01521,IBS,0,5
279,HG01526,IBS,0,5
280,HG01402,PUR,0,29
281,HG01704,IBS,0,5
282,HG01705,IBS,0,5
283,HG01709,IBS,0,5
