,No.,Popcode,request,response
212,HG00636,CHS,0,33
213,HG01438,CLM,0,33
214,HG01312,PUR,0,33
215,HG01440,CLM,0,33
216,HG01343,CLM,0,33
217,HG01348,CLM,0,33
218,HG01457,CLM,0,33
219,HG01350,CLM,0,33
220,HG01464,CLM,0,33
221,HG01355,CLM,0,33
222,HG01503,IBS,0,33
223,HG01362,CLM,0,33
224,HG01508,IBS,0,33
225,HG01367,CLM,0,33
226,HG01510,IBS,0,33
227,HG01254,CLM,0,33
228,HG01515,IBS,0,33
229,HG01259,CLM,0,33
230,HG01522,IBS,0,33
231,HG01261,CLM,0,33
232,HG01527,IBS,0,33
233,HG01273,CLM,0,33
234,HG01596,KHV,0,33
235,HG01278,CLM,0,33
236,HG01604,IBS,0,33
237,HG01280,CLM,0,33
238,HG01609,IBS,0,33
239,HG01305,PUR,0,33
240,HG01611,IBS,0,33
241,HG01052,PUR,0,33
242,HG01565,PEL,1,18
243,HG01064,PUR,0,33
244,HG01572,PEL,1,18
245,HG01069,PUR,0,33
246,HG01577,PEL,1,18
247,HG01071,PUR,0,33
248,HG01589,PJL,0,9
249,HG01083,PUR,0,33
250,HG01538,IBS,0,33
251,HG01552,CLM,0,33
252,HG01488,CLM,0,33
253,HG01571,PEL,1,18
254,HG01490,CLM,0,33
255,HG01583,PJL,0,9
256,HG01495,CLM,0,33
257,HG01616,IBS,0,33
258,HG01413,PUR,0,33
259,HG01623,IBS,0,33
260,HG01432,CLM,0,33
261,HG01628,IBS,0,33
262,HG01437,CLM,0,33
263,HG01630,IBS,0,33
264,HG01444,CLM,0,33
265,HG01673,IBS,0,33
266,HG01456,CLM,0,33
267,HG01678,IBS,0,33
268,HG01463,CLM,0,33
269,HG01680,IBS,0,33
270,HG01502,IBS,0,33
271,HG01685,IBS,0,33
272,HG01507,IBS,0,33
273,HG01697,IBS,0,33
274,HG01514,IBS,0,33
275,HG01700,IBS,0,33
276,HG01519,IBS,0,33
277,HG01375,CLM,0,33
278,HG01521,IBS,0,33
279,HG01526,IBS,0,33
280,HG01402,PUR,0,33
281,HG01704,IBS,0,33
282,HG01705,IBS,0,33
283,HG01709,IBS,0,33
284,HG01748,IBS,0,33
285,HG01711,IBS,0,33
286,HG01755,IBS,0,33
287,HG01747,IBS,0,33
288,HG01762,IBS,0,33
289,HG01761,IBS,0,33
290,HG02006,PEL,1,18
291,HG01766,IBS,0,33
292,HG02013,ACB,1,9
293,HG01374,CLM,0,33
294,HG02018,KHV,0,33
295,HG01379,CLM,0,33
296,HG02020,KHV,0,33
297,HG01393,PUR,0,33
298,HG02025,KHV,0,33
299,HG01398,PUR,0,33
300,HG02032,KHV,0,33
301,HG01468,CLM,0,33
302,HG02049,KHV,0,33
303,HG02051,ACB,1,9
304,HG02056,KHV,0,33
305,HG01494,CLM,0,33
306,HG02068,KHV,0,33
307,HG01499,CLM,0,33
308,HG02070,KHV,0,33
309,HG01595,KHV,0,33
310,HG02075,KHV,0,33
311,HG01603,IBS,0,33
312,HG01863,KHV,0,33
313,HG01608,IBS,0,33
314,HG01868,KHV,0,33
315,HG01610,IBS,0,33
316,HG01870,KHV,0,33
317,HG01615,IBS,0,33
318,HG01882,ACB,1,9
319,HG01622,IBS,0,33
320,HG01887,ACB,1,9
321,HG01627,IBS,0,33
322,HG01894,ACB,1,9
323,HG01672,IBS,0,33
324,HG01914,ACB,1,9
325,HG01677,IBS,0,33
326,HG01919,PEL,1,18
327,HG01684,IBS,0,33
328,HG01921,PEL,1,18
329,HG01696,IBS,0,33
330,HG01926,PEL,1,18
331,HG02012,ACB,1,9
332,HG01933,PEL,1,18
333,HG02017,KHV,0,33
334,HG01938,PEL,1,18
335,HG02024,KHV,0,33
336,HG01940,PEL,1,18
337,HG02029,KHV,0,33
338,HG01945,PEL,1,18
339,HG02031,KHV,0,33
340,HG01767,IBS,0,33
341,HG02048,KHV,0,33
342,HG01774,IBS,0,33
343,HG02050,KHV,0,33
344,HG01779,IBS,0,33
345,HG02055,ACB,1,9
346,HG01781,IBS,0,33
347,HG02067,KHV,0,33
348,HG01786,IBS,0,33
349,HG02074,KHV,0,33
350,HG01983,PEL,1,18
351,HG02079,KHV,0,33
352,HG01988,ACB,1,9
353,HG01949,PEL,1,18
354,HG01990,ACB,1,9
355,HG01951,PEL,1,18
356,HG01956,ACB,1,9
357,HG01952,PEL,1,18
358,HG01968,PEL,1,18
359,HG01969,PEL,1,18
360,HG01970,PEL,1,18
361,HG01971,PEL,1,18
362,HG01975,PEL,1,18
363,HG01976,PEL,1,18
364,HG01862,KHV,0,33
365,HG01798,CDX,0,33
366,HG01867,KHV,0,33
367,HG01801,CDX,0,33
368,HG01874,KHV,0,33
369,HG01806,CDX,0,33
370,HG01879,ACB,1,9
371,HG01813,CDX,0,33
372,HG01881,ACB,1,9
373,HG01844,KHV,0,33
374,HG01886,ACB,1,9
375,HG01849,KHV,0,33
376,HG01925,PEL,1,18
377,HG01851,KHV,0,33
378,HG01932,PEL,1,18
379,HG02234,IBS,0,33
380,HG01937,PEL,1,18
381,HG02239,IBS,0,33
382,HG01944,PEL,1,18
383,HG02253,PEL,1,18
384,HG01893,PEL,1,18
385,HG02258,ACB,1,9
386,HG01898,PEL,1,18
387,HG02260,PEL,1,18
388,HG01918,PEL,1,18
389,HG02265,PEL,1,18
390,HG01920,PEL,1,18
391,HG02188,CDX,0,33
392,HG01773,IBS,0,33
393,HG02190,CDX,0,33
394,HG01778,IBS,0,33
395,HG02215,GBR,0,33
396,HG01780,IBS,0,33
397,HG02222,IBS,0,33
398,HG01785,IBS,0,33
399,HG02145,ACB,1,9
400,HG01817,CDX,0,33
401,HG02152,CDX,0,33
402,HG01843,KHV,0,33
403,HG02164,CDX,0,33
404,HG01848,KHV,0,33
405,HG01850,KHV,0,33
406,HG01855,KHV,0,33
407,HG02082,KHV,0,33
408,HG01982,PEL,1,18
409,HG02087,KHV,0,33
410,HG01987,ACB,1,9
411,HG02102,PEL,1,18
412,HG01797,CDX,0,33
413,HG02107,ACB,1,9
414,HG01800,CDX,0,33
415,HG02304,PEL,1,18
416,HG01805,CDX,0,33
417,HG02309,ACB,1,9
418,HG01812,CDX,0,33
419,HG02316,ACB,1,9
420,HG02081,KHV,0,33
421,HG02323,ACB,1,9
422,HG02086,KHV,0,33
423,HG02330,ACB,1,9
424,HG02106,PEL,1,18
425,HG02121,KHV,0,33
426,HG02113,KHV,0,33
427,HG02126,KHV,0,33
428,HG02334,ACB,1,9
429,HG02133,KHV,0,33
430,HG02339,ACB,1,9
431,HG02138,KHV,0,33
432,HG02353,CDX,0,33
433,HG02140,KHV,0,33
434,HG02272,PEL,1,18
435,HG02360,CDX,0,33
436,HG02277,PEL,1,18
437,HG02372,CDX,0,33
438,HG02284,ACB,1,9
439,HG02233,IBS,0,33
440,HG02291,PEL,1,18
441,HG02238,IBS,0,33
442,HG02240,IBS,0,33
443,HG02373,CDX,0,33
444,HG02252,PEL,1,18
445,HG02380,CDX,0,33
446,HG02257,ACB,1,9
447,HG02385,CDX,0,33
448,HG02144,ACB,1,9
449,HG02392,CDX,0,33
450,HG02151,CDX,0,33
451,HG02397,CDX,0,33
452,HG02156,CDX,0,33
453,HG02549,ACB,1,9
454,HG02568,GWD,0,8
455,HG02303,PEL,1,18
456,HG02570,GWD,0,8
457,HG02308,ACB,1,9
458,HG02315,ACB,1,9
459,HG02582,GWD,0,8
460,HG02322,ACB,1,9
461,HG02271,PEL,1,18
462,HG02594,GWD,0,8
463,HG02283,ACB,1,9
464,HG02784,PJL,0,9
465,HG02789,PJL,0,9
466,HG02182,CDX,0,33
467,HG02791,PJL,0,9
468,HG02187,CDX,0,33
469,HG02804,GWD,0,8
470,HG02219,IBS,0,33
471,HG02221,IBS,0,33
472,HG02811,GWD,0,8
473,HG02377,CDX,0,33
474,HG02816,GWD,0,8
475,HG02384,CDX,0,33
476,HG02455,ACB,1,9
477,HG02389,CDX,0,33
478,HG02462,GWD,0,8
479,HG02391,CDX,0,33
480,HG02479,ACB,1,9
