,No.,Popcode,request,response
0,HG00271,FIN,0,36
1,HG00276,FIN,0,36
2,HG00288,FIN,0,36
3,HG00290,FIN,0,36
4,HG00308,FIN,0,36
5,HG00310,FIN,0,36
6,HG00315,FIN,0,36
7,HG00327,FIN,0,36
8,HG00334,FIN,0,36
9,HG00339,FIN,0,36
10,HG00341,FIN,0,36
11,HG00346,FIN,0,36
12,HG00353,FIN,0,36
13,HG00358,FIN,0,36
14,HG00360,FIN,0,36
15,HG00365,FIN,0,36
16,HG00372,FIN,0,36
17,HG00132,GBR,0,36
18,HG00137,GBR,0,36
19,HG00144,GBR,0,36
20,HG00149,GBR,0,36
21,HG00151,GBR,0,36
22,HG00156,GBR,0,36
23,HG00182,FIN,0,36
24,HG00187,FIN,0,36
25,HG00136,GBR,0,36
26,HG00233,GBR,0,36
27,HG00143,GBR,0,36
28,HG00238,GBR,0,36
29,HG00148,GBR,0,36
30,HG00240,GBR,0,36
31,HG00150,GBR,0,36
32,HG00245,GBR,0,36
33,HG00155,GBR,0,36
34,HG00252,GBR,0,36
35,HG00174,FIN,0,36
36,HG00257,GBR,0,36
37,HG00179,FIN,0,36
38,HG00264,GBR,0,36
39,HG00181,FIN,0,36
40,HG00269,FIN,0,36
41,HG00186,FIN,0,36
42,HG00377,FIN,0,36
43,HG00232,GBR,0,36
44,HG00384,FIN,0,36
45,HG00237,GBR,0,36
46,HG00404,CHS,0,36
47,HG00244,GBR,0,36
48,HG00409,CHS,0,36
49,HG00249,GBR,0,36
50,HG00251,GBR,0,36
51,HG00423,CHS,0,36
52,HG00256,GBR,0,36
53,HG00428,CHS,0,36
54,HG00263,GBR,0,36
55,HG00442,CHS,0,36
56,HG00268,FIN,0,36
57,HG00447,CHS,0,36
58,HG00383,FIN,0,36
59,HG00459,CHS,0,36
60,HG00403,CHS,0,36
61,HG00473,CHS,0,36
62,HG00408,CHS,0,36
63,HG00098,GBR,0,36
64,HG00410,CHS,0,36
65,HG00101,GBR,0,36
66,HG00422,CHS,0,36
67,HG00106,GBR,0,36
68,HG00427,CHS,0,36
69,HG00113,GBR,0,36
70,HG00446,CHS,0,36
71,HG00118,GBR,0,36
72,HG00453,CHS,0,36
73,HG00120,GBR,0,36
74,HG00458,CHS,0,36
75,HG00125,GBR,0,36
76,HG00465,CHS,0,36
77,HG00472,CHS,0,36
78,HG00270,FIN,0,36
79,HG00275,FIN,0,36
80,HG00282,FIN,0,36
81,HG00319,FIN,0,36
82,HG00478,CHS,0,36
83,HG00321,FIN,0,36
84,HG00480,CHS,0,36
85,HG00326,FIN,0,36
86,HG00500,CHS,0,36
87,HG00338,FIN,0,36
88,HG00512,CHS,0,36
89,HG00345,FIN,0,36
90,HG00524,CHS,0,36
91,HG00357,FIN,0,36
92,HG00531,CHS,0,36
93,HG00364,FIN,0,36
94,HG00536,CHS,0,36
95,HG00369,FIN,0,36
96,HG00543,CHS,0,36
97,HG00371,FIN,0,36
98,HG00555,PUR,0,36
99,HG00376,FIN,0,36
100,HG00567,CHS,0,36
101,HG00097,GBR,0,36
102,HG00579,CHS,0,36
103,HG00100,GBR,0,36
104,HG00581,CHS,0,36
105,HG00105,GBR,0,36
106,HG00733,PUR,0,36
107,HG00112,GBR,0,36
108,HG00738,PUR,0,36
109,HG00117,GBR,0,36
110,HG00740,PUR,0,36
111,HG00124,GBR,0,36
112,HG00978,CDX,0,36
113,HG00129,GBR,0,36
114,HG01142,CLM,0,36
115,HG00131,GBR,0,36
116,HG01161,PUR,0,36
117,HG01173,PUR,0,36
118,HG01178,PUR,0,36
119,HG01192,PUR,0,36
120,HG01197,PUR,0,36
121,HG01200,PUR,0,36
122,HG00477,CHS,0,36
123,HG01205,PUR,0,36
124,HG00530,CHS,0,36
125,HG01243,PUR,0,36
126,HG00535,CHS,0,36
127,HG01248,PUR,0,36
128,HG00542,CHS,0,36
129,HG01250,CLM,0,36
130,HG00554,PUR,0,36
131,HG00651,CHS,0,36
132,HG00559,CHS,0,36
133,HG00656,CHS,0,36
134,HG00561,CHS,0,36
135,HG00663,CHS,0,36
136,HG00566,CHS,0,36
137,HG00675,CHS,0,36
138,HG00578,CHS,0,36
139,HG00694,CHS,0,36
140,HG00580,CHS,0,36
141,HG00699,CHS,0,36
142,HG00585,CHS,0,36
143,HG00702,CHS,0,36
144,HG00718,CHS,0,36
145,HG00707,CHS,0,36
146,HG00732,PUR,0,36
147,HG00593,CHS,0,36
148,HG00737,PUR,0,36
149,HG00598,CHS,0,36
150,HG00864,CDX,0,36
151,HG00613,CHS,0,36
152,HG00650,CHS,0,36
153,HG00620,CHS,0,36
154,HG00655,CHS,0,36
155,HG00625,CHS,0,36
156,HG00662,CHS,0,36
157,HG00632,CHS,0,36
158,HG00674,CHS,0,36
159,HG00637,PUR,0,36
160,HG00693,CHS,0,36
161,HG01089,PUR,0,36
162,HG00698,CHS,0,36
163,HG01096,PUR,0,36
164,HG00701,CHS,0,36
165,HG01104,PUR,0,36
166,HG00706,CHS,0,36
167,HG01109,PUR,0,36
168,HG01141,CLM,0,36
169,HG01111,PUR,0,36
170,HG01172,PUR,0,36
171,HG01177,PUR,0,36
172,HG01130,CLM,0,36
173,HG01184,PUR,0,36
174,HG01135,CLM,0,36
175,HG01189,PUR,0,36
176,HG01046,CDX,0,36
177,HG01191,PUR,0,36
178,HG01053,PUR,0,36
179,HG01204,PUR,0,36
180,HG01058,PUR,0,36
181,HG01242,PUR,0,36
182,HG01060,PUR,0,36
183,HG01247,PUR,0,36
