,No.,Popcode,request,response
0,HG00271,FIN,0,45
1,HG00276,FIN,0,45
2,HG00288,FIN,0,45
3,HG00290,FIN,0,45
4,HG00308,FIN,0,45
5,HG00310,FIN,0,45
6,HG00315,FIN,0,45
7,HG00327,FIN,0,45
8,HG00334,FIN,0,45
9,HG00339,FIN,0,45
10,HG00341,FIN,0,45
11,HG00346,FIN,0,45
12,HG00353,FIN,0,45
13,HG00358,FIN,0,45
14,HG00360,FIN,0,45
15,HG00365,FIN,0,45
16,HG00372,FIN,0,45
17,HG00132,GBR,0,45
18,HG00137,GBR,0,45
19,HG00144,GBR,0,45
20,HG00149,GBR,0,45
21,HG00151,GBR,0,45
22,HG00156,GBR,0,45
23,HG00182,FIN,0,45
24,HG00187,FIN,0,45
25,HG00136,GBR,0,45
26,HG00233,GBR,0,45
27,HG00143,GBR,0,45
28,HG00238,GBR,0,45
29,HG00148,GBR,0,45
30,HG00240,GBR,0,45
31,HG00150,GBR,0,45
32,HG00245,GBR,0,45
33,HG00155,GBR,0,45
34,HG00252,GBR,0,45
35,HG00174,FIN,0,45
36,HG00257,GBR,0,45
37,HG00179,FIN,0,45
38,HG00264,GBR,0,45
39,HG00181,FIN,0,45
40,HG00269,FIN,0,45
41,HG00186,FIN,0,45
42,HG00377,FIN,0,45
43,HG00232,GBR,0,45
44,HG00384,FIN,0,45
45,HG00237,GBR,0,45
46,HG00404,CHS,0,45
47,HG00244,GBR,0,45
48,HG00409,CHS,0,45
49,HG00249,GBR,0,45
50,HG00251,GBR,0,45
51,HG00423,CHS,0,45
52,HG00256,GBR,0,45
53,HG00428,CHS,0,45
54,HG00263,GBR,0,45
55,HG00442,CHS,0,45
56,HG00268,FIN,0,45
57,HG00447,CHS,0,45
58,HG00383,FIN,0,45
59,HG00459,CHS,0,45
60,HG00403,CHS,0,45
61,HG00473,CHS,0,45
62,HG00408,CHS,0,45
63,HG00098,GBR,0,45
64,HG00410,CHS,0,45
65,HG00101,GBR,0,45
66,HG00422,CHS,0,45
67,HG00106,GBR,0,45
68,HG00427,CHS,0,45
69,HG00113,GBR,0,45
70,HG00446,CHS,0,45
71,HG00118,GBR,0,45
72,HG00453,CHS,0,45
73,HG00120,GBR,0,45
74,HG00458,CHS,0,45
75,HG00125,GBR,0,45
76,HG00465,CHS,0,45
77,HG00472,CHS,0,45
78,HG00270,FIN,0,45
79,HG00275,FIN,0,45
80,HG00282,FIN,0,45
81,HG00319,FIN,0,45
82,HG00478,CHS,0,45
83,HG00321,FIN,0,45
84,HG00480,CHS,0,45
85,HG00326,FIN,0,45
86,HG00500,CHS,0,45
87,HG00338,FIN,0,45
88,HG00512,CHS,0,45
89,HG00345,FIN,0,45
90,HG00524,CHS,0,45
91,HG00357,FIN,0,45
92,HG00531,CHS,0,45
93,HG00364,FIN,0,45
94,HG00536,CHS,0,45
95,HG00369,FIN,0,45
96,HG00543,CHS,0,45
97,HG00371,FIN,0,45
98,HG00555,PUR,0,45
99,HG00376,FIN,0,45
100,HG00567,CHS,0,45
101,HG00097,GBR,0,45
102,HG00579,CHS,0,45
103,HG00100,GBR,0,45
104,HG00581,CHS,0,45
105,HG00105,GBR,0,45
106,HG00733,PUR,0,45
107,HG00112,GBR,0,45
108,HG00738,PUR,0,45
109,HG00117,GBR,0,45
110,HG00740,PUR,0,45
111,HG00124,GBR,0,45
112,HG00978,CDX,0,45
113,HG00129,GBR,0,45
114,HG01142,CLM,0,45
115,HG00131,GBR,0,45
116,HG01161,PUR,0,45
117,HG01173,PUR,0,45
118,HG01178,PUR,0,45
119,HG01192,PUR,0,45
120,HG01197,PUR,0,45
121,HG01200,PUR,0,45
122,HG00477,CHS,0,45
123,HG01205,PUR,0,45
124,HG00530,CHS,0,45
125,HG01243,PUR,0,45
126,HG00535,CHS,0,45
127,HG01248,PUR,0,45
128,HG00542,CHS,0,45
129,HG01250,CLM,0,45
130,HG00554,PUR,0,45
131,HG00651,CHS,0,45
132,HG00559,CHS,0,45
133,HG00656,CHS,0,45
134,HG00561,CHS,0,45
135,HG00663,CHS,0,45
136,HG00566,CHS,0,45
137,HG00675,CHS,0,45
138,HG00578,CHS,0,45
139,HG00694,CHS,0,45
140,HG00580,CHS,0,45
141,HG00699,CHS,0,45
142,HG00585,CHS,0,45
143,HG00702,CHS,0,45
144,HG00718,CHS,0,45
145,HG00707,CHS,0,45
146,HG00732,PUR,0,45
147,HG00593,CHS,0,45
148,HG00737,PUR,0,45
149,HG00598,CHS,0,45
150,HG00864,CDX,0,45
151,HG00613,CHS,0,45
152,HG00650,CHS,0,45
153,HG00620,CHS,0,45
154,HG00655,CHS,0,45
155,HG00625,CHS,0,45
156,HG00662,CHS,0,45
157,HG00632,CHS,0,45
