,No.,Popcode,request,response
0,HG00271,FIN,0,31
1,HG00276,FIN,0,31
2,HG00288,FIN,0,31
3,HG00290,FIN,0,31
4,HG00308,FIN,0,31
5,HG00310,FIN,0,31
6,HG00315,FIN,0,31
7,HG00327,FIN,0,31
8,HG00334,FIN,0,31
9,HG00339,FIN,0,31
10,HG00341,FIN,0,31
11,HG00346,FIN,0,31
12,HG00353,FIN,0,31
13,HG00358,FIN,0,31
14,HG00360,FIN,0,31
15,HG00365,FIN,0,31
16,HG00372,FIN,0,31
17,HG00132,GBR,0,31
18,HG00137,GBR,0,31
19,HG00144,GBR,0,31
20,HG00149,GBR,0,31
21,HG00151,GBR,0,31
22,HG00156,GBR,0,31
23,HG00182,FIN,0,31
24,HG00187,FIN,0,31
25,HG00136,GBR,0,31
26,HG00233,GBR,0,31
27,HG00143,GBR,0,31
28,HG00238,GBR,0,31
29,HG00148,GBR,0,31
30,HG00240,GBR,0,31
31,HG00150,GBR,0,31
32,HG00245,GBR,0,31
33,HG00155,GBR,0,31
34,HG00252,GBR,0,31
35,HG00174,FIN,0,31
36,HG00257,GBR,0,31
37,HG00179,FIN,0,31
38,HG00264,GBR,0,31
39,HG00181,FIN,0,31
40,HG00269,FIN,0,31
41,HG00186,FIN,0,31
42,HG00377,FIN,0,31
43,HG00232,GBR,0,31
44,HG00384,FIN,0,31
45,HG00237,GBR,0,31
46,HG00404,CHS,0,31
47,HG00244,GBR,0,31
48,HG00409,CHS,0,31
49,HG00249,GBR,0,31
50,HG00251,GBR,0,31
51,HG00423,CHS,0,31
52,HG00256,GBR,0,31
53,HG00428,CHS,0,31
54,HG00263,GBR,0,31
55,HG00442,CHS,0,31
56,HG00268,FIN,0,31
57,HG00447,CHS,0,31
58,HG00383,FIN,0,31
59,HG00459,CHS,0,31
60,HG00403,CHS,0,31
61,HG00473,CHS,0,31
62,HG00408,CHS,0,31
63,HG00098,GBR,0,31
64,HG00410,CHS,0,31
65,HG00101,GBR,0,31
66,HG00422,CHS,0,31
67,HG00106,GBR,0,31
68,HG00427,CHS,0,31
69,HG00113,GBR,0,31
70,HG00446,CHS,0,31
71,HG00118,GBR,0,31
72,HG00453,CHS,0,31
73,HG00120,GBR,0,31
74,HG00458,CHS,0,31
75,HG00125,GBR,0,31
76,HG00465,CHS,0,31
77,HG00472,CHS,0,31
78,HG00270,FIN,0,31
79,HG00275,FIN,0,31
80,HG00282,FIN,0,31
81,HG00319,FIN,0,31
82,HG00478,CHS,0,31
83,HG00321,FIN,0,31
84,HG00480,CHS,0,31
85,HG00326,FIN,0,31
86,HG00500,CHS,0,31
87,HG00338,FIN,0,31
88,HG00512,CHS,0,31
89,HG00345,FIN,0,31
90,HG00524,CHS,0,31
91,HG00357,FIN,0,31
92,HG00531,CHS,0,31
93,HG00364,FIN,0,31
94,HG00536,CHS,0,31
95,HG00369,FIN,0,31
96,HG00543,CHS,0,31
97,HG00371,FIN,0,31
98,HG00555,PUR,0,31
99,HG00376,FIN,0,31
100,HG00567,CHS,0,31
101,HG00097,GBR,0,31
102,HG00579,CHS,0,31
103,HG00100,GBR,0,31
104,HG00581,CHS,0,31
105,HG00105,GBR,0,31
106,HG00733,PUR,0,31
107,HG00112,GBR,0,31
108,HG00738,PUR,0,31
109,HG00117,GBR,0,31
110,HG00740,PUR,0,31
111,HG00124,GBR,0,31
112,HG00978,CDX,0,31
113,HG00129,GBR,0,31
114,HG01142,CLM,0,31
115,HG00131,GBR,0,31
116,HG01161,PUR,0,31
117,HG01173,PUR,0,31
118,HG01178,PUR,0,31
119,HG01192,PUR,0,31
120,HG01197,PUR,0,31
121,HG01200,PUR,0,31
122,HG00477,CHS,0,31
123,HG01205,PUR,0,31
124,HG00530,CHS,0,31
125,HG01243,PUR,0,31
126,HG00535,CHS,0,31
127,HG01248,PUR,0,31
128,HG00542,CHS,0,31
129,HG01250,CLM,0,31
130,HG00554,PUR,0,31
131,HG00651,CHS,0,31
132,HG00559,CHS,0,31
133,HG00656,CHS,0,31
134,HG00561,CHS,0,31
135,HG00663,CHS,0,31
136,HG00566,CHS,0,31
137,HG00675,CHS,0,31
138,HG00578,CHS,0,31
139,HG00694,CHS,0,31
140,HG00580,CHS,0,31
141,HG00699,CHS,0,31
142,HG00585,CHS,0,31
143,HG00702,CHS,0,31
144,HG00718,CHS,0,31
145,HG00707,CHS,0,31
146,HG00732,PUR,0,31
147,HG00593,CHS,0,31
148,HG00737,PUR,0,31
149,HG00598,CHS,0,31
150,HG00864,CDX,0,31
151,HG00613,CHS,0,31
152,HG00650,CHS,0,31
153,HG00620,CHS,0,31
154,HG00655,CHS,0,31
155,HG00625,CHS,0,31
156,HG00662,CHS,0,31
157,HG00632,CHS,0,31
158,HG00674,CHS,0,31
159,HG00637,PUR,0,31
160,HG00693,CHS,0,31
161,HG01089,PUR,0,31
162,HG00698,CHS,0,31
163,HG01096,PUR,0,31
164,HG00701,CHS,0,31
165,HG01104,PUR,0,31
166,HG00706,CHS,0,31
167,HG01109,PUR,0,31
168,HG01141,CLM,0,31
169,HG01111,PUR,0,31
170,HG01172,PUR,0,31
171,HG01177,PUR,0,31
172,HG01130,CLM,0,31
173,HG01184,PUR,0,31
174,HG01135,CLM,0,31
175,HG01189,PUR,0,31
176,HG01046,CDX,0,31
177,HG01191,PUR,0,31
178,HG01053,PUR,0,31
179,HG01204,PUR,0,31
180,HG01058,PUR,0,31
181,HG01242,PUR,0,31
182,HG01060,PUR,0,31
183,HG01247,PUR,0,31
184,HG01072,PUR,0,31
185,HG01088,PUR,0,31
186,HG01077,PUR,0,31
187,HG01084,PUR,0,31
188,HG01095,PUR,0,31
189,HG01325,PUR,0,31
190,HG01103,PUR,0,31
191,HG01344,CLM,0,31
192,HG01108,PUR,0,31
193,HG01349,CLM,0,31
194,HG01110,PUR,0,31
195,HG01351,CLM,0,31
196,HG01122,CLM,0,31
197,HG01356,CLM,0,31
198,HG01134,CLM,0,31
199,HG01363,CLM,0,31
200,HG01139,CLM,0,31
201,HG01255,CLM,0,31
202,HG00592,CHS,0,31
203,HG01274,CLM,0,31
204,HG00597,CHS,0,31
205,HG01279,CLM,0,31
206,HG01281,CLM,0,31
207,HG00612,CHS,0,31
208,HG01286,PUR,0,31
209,HG00629,CHS,0,31
210,HG01414,PUR,0,31
211,HG00631,CHS,0,31
212,HG00636,CHS,0,31
213,HG01438,CLM,0,31
214,HG01312,PUR,0,31
215,HG01440,CLM,0,31
216,HG01343,CLM,0,31
217,HG01348,CLM,0,31
218,HG01457,CLM,0,31
219,HG01350,CLM,0,31
220,HG01464,CLM,0,31
221,HG01355,CLM,0,31
222,HG01503,IBS,1,15
223,HG01362,CLM,0,31
224,HG01508,IBS,1,15
225,HG01367,CLM,0,31
226,HG01510,IBS,1,15
227,HG01254,CLM,0,31
228,HG01515,IBS,1,15
229,HG01259,CLM,0,31
230,HG01522,IBS,1,15
231,HG01261,CLM,0,31
232,HG01527,IBS,1,15
233,HG01273,CLM,0,31
234,HG01596,KHV,0,7
235,HG01278,CLM,0,31
236,HG01604,IBS,1,15
237,HG01280,CLM,0,31
238,HG01609,IBS,1,15
239,HG01305,PUR,0,31
240,HG01611,IBS,1,15
241,HG01052,PUR,0,31
242,HG01565,PEL,0,7
243,HG01064,PUR,0,31
244,HG01572,PEL,0,7
245,HG01069,PUR,0,31
246,HG01577,PEL,0,7
247,HG01071,PUR,0,31
248,HG01589,PJL,1,7
