,No.,Popcode,request,response
0,HG00271,FIN,0,26
1,HG00276,FIN,0,26
2,HG00288,FIN,0,26
3,HG00290,FIN,0,26
4,HG00308,FIN,0,26
5,HG00310,FIN,0,26
6,HG00315,FIN,0,26
7,HG00327,FIN,0,26
8,HG00334,FIN,0,26
9,HG00339,FIN,0,26
10,HG00341,FIN,0,26
11,HG00346,FIN,0,26
12,HG00353,FIN,0,26
13,HG00358,FIN,0,26
14,HG00360,FIN,0,26
15,HG00365,FIN,0,26
16,HG00372,FIN,0,26
17,HG00132,GBR,1,6
18,HG00137,GBR,1,6
19,HG00144,GBR,1,6
20,HG00149,GBR,1,6
21,HG00151,GBR,1,6
22,HG00156,GBR,1,6
23,HG00182,FIN,0,26
24,HG00187,FIN,0,26
25,HG00136,GBR,1,6
26,HG00233,GBR,1,6
27,HG00143,GBR,1,6
28,HG00238,GBR,1,6
29,HG00148,GBR,1,6
30,HG00240,GBR,1,6
31,HG00150,GBR,1,6
32,HG00245,GBR,1,6
33,HG00155,GBR,1,6
34,HG00252,GBR,1,6
35,HG00174,FIN,0,26
36,HG00257,GBR,1,6
37,HG00179,FIN,0,26
38,HG00264,GBR,1,6
39,HG00181,FIN,0,26
40,HG00269,FIN,0,26
41,HG00186,FIN,0,26
42,HG00377,FIN,0,26
43,HG00232,GBR,1,6
44,HG00384,FIN,0,26
45,HG00237,GBR,1,6
46,HG00404,CHS,0,2
47,HG00244,GBR,1,6
48,HG00409,CHS,0,2
49,HG00249,GBR,1,6
50,HG00251,GBR,1,6
51,HG00423,CHS,0,2
52,HG00256,GBR,1,6
53,HG00428,CHS,0,2
54,HG00263,GBR,1,6
55,HG00442,CHS,0,2
56,HG00268,FIN,0,26
57,HG00447,CHS,0,2
58,HG00383,FIN,0,26
59,HG00459,CHS,0,2
60,HG00403,CHS,0,2
61,HG00473,CHS,0,2
62,HG00408,CHS,0,2
63,HG00098,GBR,1,6
64,HG00410,CHS,0,2
65,HG00101,GBR,1,6
66,HG00422,CHS,0,2
67,HG00106,GBR,1,6
68,HG00427,CHS,0,2
69,HG00113,GBR,1,6
70,HG00446,CHS,0,2
71,HG00118,GBR,1,6
72,HG00453,CHS,0,2
73,HG00120,GBR,1,6
74,HG00458,CHS,0,2
75,HG00125,GBR,1,6
76,HG00465,CHS,0,2
77,HG00472,CHS,0,2
78,HG00270,FIN,0,26
79,HG00275,FIN,0,26
80,HG00282,FIN,0,26
81,HG00319,FIN,0,26
82,HG00478,CHS,0,2
83,HG00321,FIN,0,26
84,HG00480,CHS,0,2
85,HG00326,FIN,0,26
86,HG00500,CHS,0,2
87,HG00338,FIN,0,26
88,HG00512,CHS,0,2
89,HG00345,FIN,0,26
90,HG00524,CHS,0,2
91,HG00357,FIN,0,26
92,HG00531,CHS,0,2
93,HG00364,FIN,0,26
94,HG00536,CHS,0,2
95,HG00369,FIN,0,26
96,HG00543,CHS,0,2
97,HG00371,FIN,0,26
98,HG00555,PUR,0,2
99,HG00376,FIN,0,26
100,HG00567,CHS,0,2
101,HG00097,GBR,1,6
102,HG00579,CHS,0,2
103,HG00100,GBR,1,6
104,HG00581,CHS,0,2
105,HG00105,GBR,1,6
106,HG00733,PUR,0,2
107,HG00112,GBR,1,6
108,HG00738,PUR,0,2
109,HG00117,GBR,1,6
110,HG00740,PUR,0,2
111,HG00124,GBR,1,6
112,HG00978,CDX,0,2
113,HG00129,GBR,1,6
114,HG01142,CLM,1,2
115,HG00131,GBR,1,6
116,HG01161,PUR,0,2
117,HG01173,PUR,0,2
118,HG01178,PUR,0,2
119,HG01192,PUR,0,2
120,HG01197,PUR,0,2
121,HG01200,PUR,0,2
122,HG00477,CHS,0,2
123,HG01205,PUR,0,2
124,HG00530,CHS,0,2
125,HG01243,PUR,0,2
126,HG00535,CHS,0,2
127,HG01248,PUR,0,2
128,HG00542,CHS,0,2
129,HG01250,CLM,1,2
130,HG00554,PUR,0,2
131,HG00651,CHS,0,2
132,HG00559,CHS,0,2
133,HG00656,CHS,0,2
134,HG00561,CHS,0,2
135,HG00663,CHS,0,2
136,HG00566,CHS,0,2
137,HG00675,CHS,0,2
138,HG00578,CHS,0,2
139,HG00694,CHS,0,2
140,HG00580,CHS,0,2
141,HG00699,CHS,0,2
142,HG00585,CHS,0,2
143,HG00702,CHS,0,2
144,HG00718,CHS,0,2
145,HG00707,CHS,0,2
146,HG00732,PUR,0,2
147,HG00593,CHS,0,2
148,HG00737,PUR,0,2
149,HG00598,CHS,0,2
150,HG00864,CDX,0,2
151,HG00613,CHS,0,2
152,HG00650,CHS,0,2
153,HG00620,CHS,0,2
154,HG00655,CHS,0,2
155,HG00625,CHS,0,2
156,HG00662,CHS,0,2
157,HG00632,CHS,0,2
158,HG00674,CHS,0,2
159,HG00637,PUR,0,2
160,HG00693,CHS,0,2
161,HG01089,PUR,0,2
162,HG00698,CHS,0,2
163,HG01096,PUR,0,2
164,HG00701,CHS,0,2
165,HG01104,PUR,0,2
166,HG00706,CHS,0,2
167,HG01109,PUR,0,2
168,HG01141,CLM,1,2
169,HG01111,PUR,0,2
170,HG01172,PUR,0,2
171,HG01177,PUR,0,2
172,HG01130,CLM,1,2
173,HG01184,PUR,0,2
174,HG01135,CLM,1,2
175,HG01189,PUR,0,2
176,HG01046,CDX,0,2
177,HG01191,PUR,0,2
178,HG01053,PUR,0,2
179,HG01204,PUR,0,2
180,HG01058,PUR,0,2
181,HG01242,PUR,0,2
182,HG01060,PUR,0,2
183,HG01247,PUR,0,2
184,HG01072,PUR,0,2
185,HG01088,PUR,0,2
186,HG01077,PUR,0,2
187,HG01084,PUR,0,2
188,HG01095,PUR,0,2
189,HG01325,PUR,0,2
190,HG01103,PUR,0,2
191,HG01344,CLM,1,2
192,HG01108,PUR,0,2
193,HG01349,CLM,1,2
194,HG01110,PUR,0,2
195,HG01351,CLM,1,2
196,HG01122,CLM,1,2
197,HG01356,CLM,1,2
198,HG01134,CLM,1,2
199,HG01363,CLM,1,2
200,HG01139,CLM,1,2
201,HG01255,CLM,1,2
202,HG00592,CHS,0,2
203,HG01274,CLM,1,2
204,HG00597,CHS,0,2
205,HG01279,CLM,1,2
206,HG01281,CLM,1,2
207,HG00612,CHS,0,2
208,HG01286,PUR,0,2
209,HG00629,CHS,0,2
210,HG01414,PUR,0,2
211,HG00631,CHS,0,2
212,HG00636,CHS,0,2
213,HG01438,CLM,1,2
214,HG01312,PUR,0,2
215,HG01440,CLM,1,2
216,HG01343,CLM,1,2
217,HG01348,CLM,1,2
218,HG01457,CLM,1,2
219,HG01350,CLM,1,2
220,HG01464,CLM,1,2
221,HG01355,CLM,1,2
222,HG01503,IBS,0,1
223,HG01362,CLM,1,2
224,HG01508,IBS,0,1
225,HG01367,CLM,1,2
226,HG01510,IBS,0,1
227,HG01254,CLM,1,2
228,HG01515,IBS,0,1
229,HG01259,CLM,1,2
230,HG01522,IBS,0,1
231,HG01261,CLM,1,2
232,HG01527,IBS,0,1
233,HG01273,CLM,1,2
234,HG01596,KHV,0,1
235,HG01278,CLM,1,2
236,HG01604,IBS,0,1
237,HG01280,CLM,1,2
238,HG01609,IBS,0,1
239,HG01305,PUR,0,2
240,HG01611,IBS,0,1
241,HG01052,PUR,0,2
242,HG01565,PEL,0,1
243,HG01064,PUR,0,2
244,HG01572,PEL,0,1
245,HG01069,PUR,0,2
246,HG01577,PEL,0,1
247,HG01071,PUR,0,2
248,HG01589,PJL,0,1
249,HG01083,PUR,0,2
250,HG01538,IBS,0,1
